Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,IsAccurate,Position,LapStartTime,FreshTyre,TyreLife,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time(s),Sector2Time(s),Sector3Time(s),Cum.SectorTime(s),LapTime(s),LapStartTime(s),PitInTime(s),PitOutTime(s),PitStopTime(s),PrevLapTime(s),LapΔ(s),CumLapTime(s),GapToLeader,Interval,Compound_HARD,Compound_INTERMEDIATE,Compound_MEDIUM,Compound_SOFT,Compound_WET,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Status,Message,Category_CarEvent,Category_Drs,Category_Flag,Category_Other,Category_SafetyCar,Flag_BLACK AND WHITE,Flag_BLUE,Flag_CHEQUERED,Flag_CLEAR,Flag_DOUBLE YELLOW,Flag_GREEN,Flag_RED,Flag_YELLOW
0 days 01:03:36.820000,VER,1,1.0,0 days 00:01:31.585000,0 days 00:00:36.330000,0 days 00:00:28.929000,0 days 00:00:30.478000,False,1.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,36.33,28.929,30.478,95.737,91.585,3724.96,0.0,0.0,0.0,0.0,0.0,91.585,0.0,0.0,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:37.462000,NOR,4,1.0,0 days 00:01:32.227000,0 days 00:00:37.353000,0 days 00:00:28.594000,0 days 00:00:30.567000,False,2.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,37.353,28.594,30.567,96.51400000000001,92.227,3724.96,0.0,0.0,0.0,83.205,9.022000000000006,92.227,0.6420000000000101,0.6420000000000101,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:38.001000,ALO,14,1.0,0 days 00:01:32.766000,0 days 00:00:36.326000,0 days 00:00:28.764000,0 days 00:00:30.590000,False,3.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,36.326,28.764,30.59,95.68,92.766,3724.96,0.0,0.0,0.0,81.699,11.067000000000007,92.766,1.1810000000000116,0.5390000000000015,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:38.476000,RUS,63,1.0,0 days 00:01:33.241000,0 days 00:00:37.093000,0 days 00:00:28.820000,0 days 00:00:30.679000,False,4.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,37.093,28.82,30.679,96.59200000000001,93.241,3724.96,0.0,0.0,0.0,82.652,10.588999999999999,93.241,1.656000000000006,0.4749999999999943,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:39.511000,ALB,23,1.0,0 days 00:01:34.276000,0 days 00:00:36.857000,0 days 00:00:29.096000,0 days 00:00:31.301000,False,5.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,36.857,29.096,31.301,97.254,94.276,3724.96,0.0,0.0,0.0,83.883,10.393,94.276,2.6910000000000025,1.0349999999999966,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:39.929000,SAI,55,1.0,0 days 00:01:34.694000,0 days 00:00:37.457000,0 days 00:00:29.401000,0 days 00:00:31.249000,False,6.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,37.457,29.401,31.249,98.107,94.694,3724.96,0.0,0.0,0.0,82.879,11.814999999999998,94.694,3.109000000000009,0.41800000000000637,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:40.789000,PIA,81,1.0,0 days 00:01:35.554000,0 days 00:00:37.722000,0 days 00:00:29.247000,0 days 00:00:31.488000,False,7.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,37.722,29.247,31.488,98.457,95.554,3724.96,0.0,0.0,0.0,83.03,12.524000000000001,95.554,3.9690000000000083,0.8599999999999994,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:42.309000,STR,18,1.0,0 days 00:01:37.074000,0 days 00:00:38.390000,0 days 00:00:29.907000,0 days 00:00:32.066000,False,8.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,38.39,29.907,32.066,100.363,97.074,3724.96,0.0,0.0,0.0,83.662,13.411999999999992,97.074,5.489000000000004,1.519999999999996,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:43.039000,BOT,77,1.0,0 days 00:01:37.804000,0 days 00:00:37.938000,0 days 00:00:29.254000,0 days 00:00:32.586000,False,9.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,37.938,29.254,32.586,99.778,97.804,3724.96,0.0,0.0,0.0,80.769,17.034999999999997,97.804,6.219000000000008,0.730000000000004,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:43.331000,HUL,27,1.0,0 days 00:01:38.096000,0 days 00:00:37.884000,0 days 00:00:29.602000,0 days 00:00:32.789000,False,10.0,0 days 01:02:04.960000,False,1.0,0.0,0,0,37.884,29.602,32.789,100.275,98.096,3724.96,0.0,0.0,0.0,98.096,0.0,98.096,6.51100000000001,0.2920000000000016,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:44.036000,HAM,44,1.0,0 days 00:01:38.801000,0 days 00:00:39.117000,0 days 00:00:29.606000,0 days 00:00:33.122000,False,11.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,39.117,29.606,33.122,101.845,98.801,3724.96,0.0,0.0,0.0,83.592,15.209000000000003,98.801,7.216000000000008,0.7049999999999983,False,False,True,False,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:44.310000,OCO,31,1.0,0 days 00:01:39.075000,0 days 00:00:37.481000,0 days 00:00:29.897000,0 days 00:00:33.030000,False,12.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,37.481,29.897,33.03,100.408,99.075,3724.96,0.0,0.0,0.0,83.154,15.921000000000006,99.075,7.490000000000009,0.2740000000000009,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:44.978000,PER,11,1.0,0 days 00:01:39.743000,0 days 00:00:52.335000,0 days 00:00:29.339000,0 days 00:00:36.163000,False,13.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,52.335,29.339,36.163,117.837,99.743,3724.96,0.0,3846.02,0.0,81.606,18.137,99.743,8.158000000000001,0.6679999999999922,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:45.057000,SAR,2,1.0,0 days 00:01:39.822000,0 days 00:00:38.342000,0 days 00:00:30.081000,0 days 00:00:33.506000,False,14.0,0 days 01:02:04.960000,True,1.0,0.0,0,0,38.342,30.081,33.506,101.929,99.822,3724.96,0.0,0.0,0.0,83.194,16.628,99.822,8.237000000000009,0.07900000000000773,False,False,False,True,False,17.5,67.0,1007.7,True,28.6,157,1.7,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
