Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,IsAccurate,Position,LapStartTime,FreshTyre,TyreLife,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time(s),Sector2Time(s),Sector3Time(s),Cum.SectorTime(s),LapTime(s),LapStartTime(s),PitInTime(s),PitOutTime(s),PitStopTime(s),PrevLapTime(s),LapΔ(s),CumLapTime(s),GapToLeader,Interval,Compound_HARD,Compound_INTERMEDIATE,Compound_MEDIUM,Compound_SOFT,Compound_WET,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Status,Message,Category_CarEvent,Category_Drs,Category_Flag,Category_Other,Category_SafetyCar,Flag_BLACK AND WHITE,Flag_BLUE,Flag_CHEQUERED,Flag_CLEAR,Flag_DOUBLE YELLOW,Flag_GREEN,Flag_RED,Flag_YELLOW
0 days 01:03:36.820000,VER,1,1.0,0 days 00:01:31.585000,0 days 00:00:36.330000,0 days 00:00:28.929000,0 days 00:00:30.478000,False,1.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,2.6766750069502345,0.5055482414895609,1.9322173435784862,95.737,1.121811641595814,-1.0217430218326082,0.0,0.0,0.0,0.0,0.0,-1.0322239431960756,-0.7822607359117918,-0.5395808303297519,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:37.462000,NOR,4,1.0,0 days 00:01:32.227000,0 days 00:00:37.353000,0 days 00:00:28.594000,0 days 00:00:30.567000,False,2.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,2.961078676675006,0.3795373330825655,1.9566410537870478,96.51400000000001,1.1742969260954876,-1.0217430218326082,0.0,0.0,0.0,0.4368154324015049,7.6462124418112865,-1.0320035334227218,-0.7652475785400861,-0.3681751435055687,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:38.001000,ALO,14,1.0,0 days 00:01:32.766000,0 days 00:00:36.326000,0 days 00:00:28.764000,0 days 00:00:30.590000,False,3.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,2.6755629691409495,0.44348316719954806,1.9629527991218447,95.68,1.2183616742969265,-1.0217430218326082,0.0,0.0,0.0,0.3137158737943444,9.37706305543804,-1.0318184853419776,-0.7509639464164891,-0.39567480977175573,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:38.476000,RUS,63,1.0,0 days 00:01:33.241000,0 days 00:00:37.093000,0 days 00:00:28.820000,0 days 00:00:30.679000,False,4.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,2.888796219071448,0.46454767726161345,1.9873765093304063,96.59200000000001,1.2571942446043167,-1.0217430218326082,0.0,0.0,0.0,0.391613536047083,8.972492594159995,-1.031655409575088,-0.7383763299810373,-0.41276198104395007,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:39.511000,ALB,23,1.0,0 days 00:01:34.276000,0 days 00:00:36.857000,0 days 00:00:29.096000,0 days 00:00:31.301000,False,5.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,2.8231859883236012,0.5683656197103627,2.158068057080132,97.254,1.3418083714846303,-1.0217430218326082,0.0,0.0,0.0,0.4922347555991506,8.806601777401637,-1.0313000760619708,-0.710948576274316,-0.2632492324122655,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:39.929000,SAI,55,1.0,0 days 00:01:34.694000,0 days 00:00:37.457000,0 days 00:00:29.401000,0 days 00:00:31.249000,False,6.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,2.989991659716429,0.6830919691555384,2.143798024149287,98.107,1.3759810333551343,-1.0217430218326082,0.0,0.0,0.0,0.4101683831943777,10.010156580617888,-1.031156569387108,-0.6998714738111181,-0.4279802429582433,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:40.789000,PIA,81,1.0,0 days 00:01:35.554000,0 days 00:00:37.722000,0 days 00:00:29.247000,0 days 00:00:31.488000,False,7.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,3.0636641645815947,0.6251645664848595,2.2093852908891334,98.457,1.4462884238064098,-1.0217430218326082,0.0,0.0,0.0,0.4225110348209918,10.610241218789708,-1.030861316419687,-0.6770812630016685,-0.30997196635966595,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:42.309000,STR,18,1.0,0 days 00:01:37.074000,0 days 00:00:38.390000,0 days 00:00:29.907000,0 days 00:00:32.066000,False,8.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,3.2493744787322756,0.8734248636449122,2.3680021953896833,100.363,1.5705526487900587,-1.0217430218326082,0.0,0.0,0.0,0.4741703449403318,11.361828184511245,-1.0303394739656404,-0.6368008904082226,-0.13376051261518218,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:43.039000,BOT,77,1.0,0 days 00:01:37.804000,0 days 00:00:37.938000,0 days 00:00:29.254000,0 days 00:00:32.586000,False,9.0,0 days 01:02:04.960000,0.0,-0.8333333333333334,0.0,0,0,3.1237142062830126,0.6277976302426181,2.5107025246981345,99.778,1.6302321778940487,-1.0217430218326082,0.0,0.0,0.0,0.23769821808075992,14.428269149386416,-1.0300888522607363,-0.6174557114653175,-0.3446802830063057,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:03:43.331000,HUL,27,1.0,0 days 00:01:38.096000,0 days 00:00:37.884000,0 days 00:00:29.602000,0 days 00:00:32.789000,False,10.0,0 days 01:02:04.960000,-1.0,-0.8333333333333334,0.0,0,0,3.1087016958576577,0.7586985141997364,2.5664105378704734,100.275,1.6541039895356446,-1.0217430218326082,0.0,0.0,0.0,1.653997057381071,0.010156580617859071,-1.0299886035787749,-0.6097176398881554,-0.46162061140037347,False,False,False,True,False,0.23529411764705785,-0.09090909090909091,0.0,1.0,0.4545454545454547,-0.5333333333333333,-1.7142857142857137,TRACK CLEAR,LOW GRIP CONDITIONS,False,False,False,True,False,False,False,False,False,False,False,False,False
